City,State,Speed,Company,Cord,Code,Longitude,Latitude
Abadia de Goiás,GO,90.44,CLARO,"[-49.4325, -16.7535]",5200050,-49.4325,-16.7535
Abadia dos Dourados,MG,60.92,VIVO,"[-47.4075, -18.4725]",3100104,-47.4075,-18.4725
Abadiânia,GO,101.12,CLARO,"[-48.8565, -16.0605]",5200100,-48.8565,-16.0605
Abaetetuba,PA,47.05,CLARO,"[-48.8025, -1.6245]",1500107,-48.8025,-1.6245
Abaeté,MG,70.79,CLARO,"[-45.4545, -19.1565]",3100203,-45.4545,-19.1565
Abaiara,CE,37.57,VIVO,"[-39.0465, -7.3575]",2300101,-39.0465,-7.3575
Abaré,BA,41.72,VIVO,"[-39.1095, -8.7255]",2900207,-39.1095,-8.7255
Abatiá,PR,49.85,CLARO,"[-50.3055, -23.3055]",4100103,-50.3055,-23.3055
Abaíra,BA,16.02,CLARO,"[-41.6655, -13.2525]",2900108,-41.6655,-13.2525
Abel Figueiredo,PA,20.55,VIVO,"[-48.3975, -4.9455]",1500131,-48.3975,-4.9455
Abelardo Luz,SC,59.51,CLARO,"[-52.3305, -26.5635]",4200101,-52.3305,-26.5635
Abre Campo,MG,47.11,VIVO,"[-42.4665, -20.3085]",3100302,-42.4665,-20.3085
Abreu e Lima,PE,47.96,CLARO,"[-34.9245, -7.9155]",2600054,-34.9245,-7.9155
Abreulândia,TO,40.11,CLARO,"[-49.1535, -9.6255]",1700251,-49.1535,-9.6255
Acaiaca,MG,68.96,CLARO,"[-43.1415, -20.3625]",3100401,-43.1415,-20.3625
Acajutiba,BA,30.47,VIVO,"[-38.0115, -11.6595]",2900306,-38.0115,-11.6595
Acarape,CE,51.57,VIVO,"[-38.7045, -4.2165]",2300150,-38.7045,-4.2165
Acaraú,CE,26.79,CLARO,"[-40.1175, -2.8935]",2300200,-40.1175,-2.8935
Acari,RN,23.79,CLARO,"[-36.6345, -6.4305]",2400109,-36.6345,-6.4305
Acará,PA,56.0,VIVO,"[-48.1905, -1.9575]",1500206,-48.1905,-1.9575
Acauã,PI,22.17,CLARO,"[-41.0805, -8.2125]",2200053,-41.0805,-8.2125
Aceguá,RS,47.07,VIVO,"[-54.1665, -31.8645]",4300034,-54.1665,-31.8645
Acopiara,CE,57.34,VIVO,"[-39.7395, -6.0975]",2300309,-39.7395,-6.0975
Acorizal,MT,69.78,VIVO,"[-56.3715, -15.1965]",5100102,-56.3715,-15.1965
Acrelândia,AC,71.67,VIVO,"[-67.0545, -10.0755]",1200013,-67.0545,-10.0755
Acreúna,GO,48.93,VIVO,"[-50.3775, -17.3835]",5200134,-50.3775,-17.3835
Adamantina,SP,84.64,CLARO,"[-51.0885, -21.6675]",3500105,-51.0885,-21.6675
Adelândia,GO,99.44,CLARO,"[-50.1615, -16.4115]",5200159,-50.1615,-16.4115
Adolfo,SP,66.38,VIVO,"[-49.6485, -21.2355]",3500204,-49.6485,-21.2355
Adrianópolis,PR,26.83,VIVO,"[-48.5505, -24.7995]",4100202,-48.5505,-24.7995
Adustina,BA,32.62,VIVO,"[-38.1105, -10.5435]",2900355,-38.1105,-10.5435
Afogados da Ingazeira,PE,46.85,CLARO,"[-37.6335, -7.7445]",2600104,-37.6335,-7.7445
Afonso Bezerra,RN,35.04,VIVO,"[-36.5085, -5.5035]",2400307,-36.5085,-5.5035
Afonso Cláudio,ES,36.13,VIVO,"[-41.1165, -20.0925]",3200102,-41.1165,-20.0925
Afonso Cunha,MA,35.02,CLARO,"[-43.3215, -4.1355]",2100105,-43.3215,-4.1355
Afrânio,PE,15.88,VIVO,"[-41.0085, -8.5095]",2600203,-41.0085,-8.5095
Afuá,PA,10.71,VIVO,"[-51.2235, -0.1755]",1500305,-51.2235,-0.1755
Agrestina,PE,8.3,CLARO,"[-35.9415, -8.4555]",2600302,-35.9415,-8.4555
Agricolândia,PI,57.18,CLARO,"[-42.6645, -5.7915]",2200103,-42.6645,-5.7915
Agrolândia,SC,106.82,CLARO,"[-49.8195, -27.4005]",4200200,-49.8195,-27.4005
Agronômica,SC,33.47,VIVO,"[-49.6935, -27.2655]",4200309,-49.6935,-27.2655
Aguanil,MG,55.95,VIVO,"[-45.3915, -20.9475]",3100807,-45.3915,-20.9475
Aguaí,SP,38.63,VIVO,"[-46.9845, -22.0545]",3500303,-46.9845,-22.0545
Agudo,RS,37.37,CLARO,"[-53.2485, -29.7135]",4300109,-53.2485,-29.7135
Agudos,SP,52.26,VIVO,"[-48.9825, -22.4595]",3500709,-48.9825,-22.4595
Agudos do Sul,PR,82.79,TIM,"[-49.3155, -26.0055]",4100301,-49.3155,-26.0055
Aguiar,PB,21.79,TIM,"[-38.1735, -7.0875]",2500205,-38.1735,-7.0875
Aguiarnópolis,TO,22.71,CLARO,"[-47.4705, -6.5565]",1700301,-47.4705,-6.5565
Aimorés,MG,49.57,VIVO,"[-41.0715, -19.4985]",3101102,-41.0715,-19.4985
Aiquara,BA,52.69,VIVO,"[-39.8925, -14.1255]",2900603,-39.8925,-14.1255
Aiuaba,CE,63.23,CLARO,"[-40.1175, -6.5655]",2300408,-40.1175,-6.5655
Aiuruoca,MG,37.78,VIVO,"[-44.5995, -21.9735]",3101201,-44.5995,-21.9735
Ajuricaba,RS,29.630000000000003,VIVO,"[-53.7705, -28.2375]",4300208,-53.7705,-28.2375
Alagoa,MG,7.18,VIVO,"[-44.6445, -22.1715]",3101300,-44.6445,-22.1715
Alagoa Grande,PB,34.0,TIM,"[-35.6265, -7.0425]",2500304,-35.6265,-7.0425
Alagoa Nova,PB,57.98,CLARO,"[-35.7615, -7.0605]",2500403,-35.7615,-7.0605
Alagoinha,PB,23.7,VIVO,"[-35.5455, -6.9525]",2500502,-35.5455,-6.9525
Alagoinha,PE,32.58,CLARO,"[-36.7785, -8.4735]",2600609,-36.7785,-8.4735
Alagoinha do Piauí,PI,39.24,VIVO,"[-40.9365, -7.0065]",2200251,-40.9365,-7.0065
Alagoinhas,BA,72.38,CLARO,"[-38.4525, -12.1725]",2900702,-38.4525,-12.1725
Alambari,SP,77.91,VIVO,"[-47.8935, -23.5575]",3500758,-47.8935,-23.5575
Albertina,MG,34.15,VIVO,"[-46.6065, -22.1985]",3101409,-46.6065,-22.1985
Alcinópolis,MS,45.79,VIVO,"[-53.7165, -18.3285]",5000252,-53.7165,-18.3285
Alcobaça,BA,23.8,VIVO,"[-39.1995, -17.5275]",2900801,-39.1995,-17.5275
Alcântara,MA,72.39,VIVO,"[-44.4105, -2.3985]",2100204,-44.4105,-2.3985
Alcântaras,CE,19.04,CLARO,"[-40.5495, -3.5865]",2300507,-40.5495,-3.5865
Aldeias Altas,MA,14.43,CLARO,"[-43.4745, -4.6305]",2100303,-43.4745,-4.6305
Alecrim,RS,124.32,TIM,"[-54.7695, -27.6525]",4300307,-54.7695,-27.6525
Alegre,ES,63.56,VIVO,"[-41.4585, -20.7585]",3200201,-41.4585,-20.7585
Alegrete,RS,70.09,CLARO,"[-55.8045, -29.8125]",4300406,-55.8045,-29.8125
Alegrete do Piauí,PI,15.79,TIM,"[-40.8555, -7.2405]",2200277,-40.8555,-7.2405
Alegria,RS,55.12,VIVO,"[-54.0225, -27.7965]",4300455,-54.0225,-27.7965
Alenquer,PA,96.25,CLARO,"[-54.7335, -1.9575]",1500404,-54.7335,-1.9575
Alexandria,RN,12.35,CLARO,"[-38.0115, -6.4125]",2400505,-38.0115,-6.4125
Alexânia,GO,88.83,CLARO,"[-48.3975, -16.1145]",5200308,-48.3975,-16.1145
Alfenas,MG,79.8,CLARO,"[-45.9495, -21.4515]",3101607,-45.9495,-21.4515
Alfredo Chaves,ES,17.49,VIVO,"[-40.7475, -20.6325]",3200300,-40.7475,-20.6325
Alfredo Marcondes,SP,40.69,VIVO,"[-51.4125, -21.9555]",3500808,-51.4125,-21.9555
Alfredo Vasconcelos,MG,39.19,CLARO,"[-43.7085, -21.1365]",3101631,-43.7085,-21.1365
Alfredo Wagner,SC,49.47,CLARO,"[-49.3335, -27.7065]",4200705,-49.3335,-27.7065
Algodão de Jandaíra,PB,90.57,CLARO,"[-36.0045, -6.8985]",2500577,-36.0045,-6.8985
Alhandra,PB,65.72,VIVO,"[-34.9065, -7.4295]",2500601,-34.9065,-7.4295
Aliança,PE,44.04,CLARO,"[-35.2305, -7.5915]",2600708,-35.2305,-7.5915
Aliança do Tocantins,TO,67.33,VIVO,"[-48.9465, -11.3085]",1700350,-48.9465,-11.3085
Almadina,BA,9.15,TIM,"[-39.6405, -14.7015]",2900900,-39.6405,-14.7015
Almas,TO,47.97,CLARO,"[-47.1645, -11.5605]",1700400,-47.1645,-11.5605
Almeirim,PA,71.46,CLARO,"[-52.5825, -1.5345]",1500503,-52.5825,-1.5345
Almenara,MG,55.98,CLARO,"[-40.6935, -16.1865]",3101706,-40.6935,-16.1865
Almino Afonso,RN,10.13,TIM,"[-37.7685, -6.1515]",2400604,-37.7685,-6.1515
Almirante Tamandaré,PR,87.99,CLARO,"[-49.3065, -25.2585]",4100400,-49.3065,-25.2585
Almirante Tamandaré do Sul,RS,59.03,VIVO,"[-52.8525, -28.1205]",4300471,-52.8525,-28.1205
Aloândia,GO,92.02,CLARO,"[-49.4865, -17.7255]",5200506,-49.4865,-17.7255
Alpercata,MG,53.01,VIVO,"[-41.9805, -18.9765]",3101805,-41.9805,-18.9765
Alpestre,RS,75.46,VIVO,"[-53.0325, -27.2565]",4300505,-53.0325,-27.2565
